malId|malScore|popularity|favorites
1|8.76|1585019|70232
5|8.38|328393|1253
6|8.22|649221|13022
7|7.26|104354|556
8|6.95|14181|14
15|7.93|166876|1881
16|8.02|243652|4038
17|7.56|22649|217
18|8.15|149705|1115
19|8.82|828007|36879
20|7.97|2438637|68427
21|8.63|1830773|159203
22|7.87|163722|2893
23|6.4|4103|3
24|7.9|304420|4949
25|7.4|124577|775
26|7.76|215637|4234
27|7.3|170718|1251
28|7.93|89166|842
29|7.5|19198|163
30|8.34|1520273|88667
31|7.45|226914|584
32|8.55|771201|23657
33|8.53|526217|21616
43|8.28|546184|10987
44|8.71|254663|5865
45|8.3|444456|9386
46|7.56|48004|86
47|8.16|712246|11135
48|6.96|170349|1279
49|7.3|49847|231
50|7.33|147696|1064
51|6.29|46181|175
52|7.26|54405|268
53|7.12|103158|429
54|7.08|69157|161
55|6.51|15132|14
56|5.88|16593|20
57|8.3|300285|7556
58|7.03|72903|374
59|7.41|443952|3506
60|7.63|212077|1869
61|7.18|176755|1241
62|6.73|72152|179
63|6.58|138910|333
64|7.42|190393|1843
65|7.63|99079|441
66|7.97|293516|5256
67|7.56|171371|1303
68|7.35|252363|1718
69|6.33|10027|12
71|7.62|453171|4145
72|8.04|275273|2828
73|7.94|244449|1236
74|7.64|91462|1311
75|7.27|44008|250
76|7.42|95965|989
77|7.97|60758|955
79|7.05|261267|1416
80|7.76|113597|1883
81|8.01|71788|943
82|7.94|50276|811
83|6.77|12435|3
84|7.27|38287|228
85|7.89|62639|1869
86|6.65|35737|126
87|7.66|41067|345
88|6.64|26900|66
89|6.74|23685|106
90|7.7|146255|2223
91|7.75|44787|172
92|7.32|32087|176
93|7.76|153462|3313
94|7.2|97682|1025
95|7.71|41055|820
96|7.56|61708|889
97|7.8|161111|1746
98|7.43|108164|1140
99|7.29|48523|297
100|7.17|58371|380
101|7.29|280002|2494
102|7.45|96693|513
103|7.4|13486|80
104|7.21|57563|458
105|6.42|21652|35
106|7.64|55327|723
107|7.21|35174|193
108|7.27|12305|21
109|6.8|65878|221
110|7.61|17771|104
111|6.86|14131|53
112|4.87|8017|4
113|7.36|22587|115
114|7.91|124906|1501
115|6.8|10556|9
116|6.94|16211|32
117|7.28|17156|90
118|6.81|8384|5
119|6.53|33642|43
120|7.68|495611|8681
121|8.12|1337319|24414
122|7.94|100191|1685
123|7.62|107992|1935
124|6.84|16680|40
125|6.46|33421|21
126|6.88|29903|69
127|6.93|20645|52
128|6.76|9923|19
129|7.57|50883|753
130|7.39|31949|102
131|7.39|21613|44
132|7.59|113942|839
133|6.17|111924|215
134|7.4|174893|1100
135|8.08|124302|2186
136|8.4|514176|9425
137|8.31|114844|367
138|8.19|137894|265
139|8.26|129204|227
141|6.11|10628|10
142|7.46|51156|448
143|6.82|65308|686
144|7.08|60788|217
145|7.6|198925|2306
146|6.73|57275|150
147|7.2|133277|1018
148|6.59|8502|10
149|6.79|132123|1289
150|7.63|348974|4123
151|7.1|25709|144
152|7.27|27510|119
153|8.04|129736|2250
154|7.76|335161|3544
155|6.57|34153|113
156|7.41|75630|734
157|6.95|131026|482
158|7.31|60502|646
159|6.32|17553|38
160|7.63|124094|1078
161|7.31|54153|266
162|6.93|22005|81
163|6.5|7082|18
164|8.68|1077033|18337
165|7.4|109592|905
166|7.46|121316|671
167|7.39|88119|409
168|7.37|77305|627
169|6.85|152057|616
170|8.53|250411|6045
171|6.32|4818|6
173|7.21|38751|158
174|6.89|174718|561
175|6.61|27325|36
176|6.13|6520|7
177|7.53|212325|1958
178|7.16|30503|110
179|6.65|5297|3
180|7.18|78378|394
181|7.4|50397|108
182|7.68|140048|1963
183|7.38|13298|77
184|6.34|19149|37
185|8.3|300535|9153
186|8.14|174052|810
187|7.88|144625|539
188|6.1|2729|5
189|7.11|246316|1398
190|7.22|81278|83
191|7.33|55638|41
192|7.2|50418|16
193|6.76|91897|213
194|7.53|35932|115
195|7.13|162975|885
196|6.84|83358|180
197|6.52|23402|45
198|7.32|103850|563
199|8.79|1581829|27741
200|7.45|25199|138
201|7.21|26094|113
202|7.81|301440|5387
203|6.74|8096|34
204|6.08|26414|30
205|8.5|1083803|32557
206|7.13|28681|114
207|7.37|59588|493
208|7.64|61105|314
209|7.54|64901|395
210|7.76|224311|3600
211|6.24|3467|13
212|6.85|17174|103
213|6|3341|5
214|6.12|2287|5
215|6.24|2343|3
216|5.89|2666|1
217|6.26|2786|9
218|7.5|48505|424
219|6.75|14610|27
220|5.71|2523|6
221|6.63|28345|82
222|6.66|19378|33
223|7.96|896143|13107
225|6.46|561783|1688
226|7.51|1365070|22354
227|8.03|719564|26288
228|7.62|324249|2925
229|6.9|32379|128
230|6.99|35634|134
231|6.11|7170|3
232|8.15|387678|11547
233|7.65|22791|214
234|6.66|3847|6
235|8.16|303657|12320
236|6.62|15498|20
237|8.07|407456|8754
238|7.35|60691|226
239|8.15|223238|3568
240|7.64|164537|1330
241|6.4|135149|275
242|7.41|40202|208
243|6.96|111439|1086
244|6.89|6982|20
245|8.69|711216|22727
246|7.23|92642|344
247|7.02|22618|102
248|6.64|107092|228
249|7.85|701940|16403
250|7.53|112373|1093
251|7.65|102824|1288
252|7.04|38063|145
253|7.82|31695|377
254|7.8|11725|22
255|7.64|9517|13
256|7.15|143121|518
257|6.41|146074|369
258|6.17|16262|37
259|6.61|10960|15
260|6.63|25914|29
261|6.8|13992|6
262|6.81|8940|6
263|8.74|471091|17213
264|8.27|113873|181
265|8.23|90996|142
266|6.76|15171|22
267|7.84|170941|2202
268|8.02|312051|4504
269|7.85|1620026|57769
270|7.49|637224|5385
271|6.67|12859|22
272|7.29|102333|796
273|6.72|24385|34
274|7.2|42976|243
275|5.87|20719|14
276|7.16|57795|185
277|7.15|30453|39
278|6.74|10671|31
279|7.12|33933|106
280|7.07|2625|11
281|5.73|18016|9
282|7.27|16113|75
283|7.71|27249|599
284|7.01|12846|56
285|6.77|24608|75
286|7.03|10718|30
287|7.45|105025|630
288|6.74|101265|344
289|6.57|18162|31
290|7.66|47200|425
291|6.96|32106|33
292|6.81|20494|42
293|6.77|20790|156
294|5.91|11575|8
295|6.31|6861|9
296|6.7|21797|46
297|6.7|52429|67
298|6.57|64005|124
299|6.59|31807|34
300|6.73|25150|86
301|6.3|6681|8
302|8.09|42647|497
303|6.9|21043|27
304|7.55|40285|94
305|5.34|4166|6
306|7.24|80574|306
307|5.98|1141|3
308|6.91|18613|63
309|6.16|5378|5
310|6.06|1697|2
311|7.04|11121|66
312|6.7|1946|4
313|6.87|3622|10
314|7.03|2546|19
315|6.39|2899|6
316|6.17|5189|16
317|7.73|202630|1057
318|6.71|27687|31
319|5.99|5897|6
320|6.55|59697|239
321|5.99|13847|7
322|7.85|189844|3504
323|7.67|353259|4656
324|7.68|32493|375
325|6.96|92245|742
326|7.25|59208|353
327|7.43|13515|73
328|6|8275|10
329|8.27|223117|3628
330|7.25|151910|601
331|7.64|9764|63
332|7.15|3653|5
333|7.33|5315|31
334|7.46|49286|528
335|7.27|36293|172
336|6.44|12229|29
337|6.22|10688|9
338|8.34|82372|2528
339|8.06|618558|21118
340|7.56|22672|126
341|7.23|49672|275
342|6.97|14364|36
343|6.96|70687|252
344|7.36|9546|63
345|7.63|50589|279
346|6.16|14575|11
347|6.64|7317|14
348|6.44|17662|44
349|6.18|5078|6
350|7.25|47060|524
351|7.39|18528|82
352|7.39|18614|108
353|7.65|14336|211
354|5.63|8843|3
355|7.47|502240|4872
356|7.29|857675|6881
357|6.55|181644|677
358|6.95|24283|69
359|6.24|5102|5
