malId|malScore|popularity|favorites
1|9.12|177724|15556
2|9.44|511654|96371
3|8.95|178445|14637
4|8.72|58907|4359
7|8.68|67411|5499
8|8.05|33973|1826
9|8.32|73112|6001
10|8.38|73306|4717
11|8.06|373446|41718
12|7.75|319909|30320
13|9.18|471943|94049
14|7.87|46272|2026
15|7.95|69458|4966
16|7.82|62661|3846
17|8.17|34439|1568
18|8.3|19641|1066
19|7.63|13225|392
20|8.12|40905|1840
21|8.71|345925|29597
22|8.58|86142|6759
23|7.98|44394|2744
24|8.29|139095|11763
25|9.07|256509|28101
26|8.69|217778|19506
27|8.11|21404|933
28|8.76|101419|8954
29|8.28|40600|2069
30|8.51|115522|7635
31|8.35|55613|2565
32|7.47|32354|1024
33|7.35|7557|267
34|6.5|1464|16
35|7.52|11445|294
36|7.8|18304|775
37|7.87|24704|1057
38|7.67|19703|863
39|7.03|13807|237
40|7.82|44408|1721
41|7.27|15783|226
42|8.4|132069|12382
43|8.49|67283|4115
44|8.61|84017|7918
45|7.79|43811|1964
46|6.84|373|0
47|8.13|113658|9502
48|7.6|17872|513
49|7.73|23703|838
50|7.81|66786|3168
51|9.04|124539|12218
52|7.75|5222|146
53|8.21|57410|2414
54|7.61|32997|1766
55|7.91|21252|374
56|6.6|886|1
57|8.3|33835|1888
58|7.9|9346|222
59||358|1
60||406|1
61|6.53|1062|3
62|6.19|1300|0
63||202|2
64|6.73|828|1
65|6.46|4057|8
66|6.88|983|11
67|7.77|4382|91
68|7.13|2411|14
69|6.77|5633|12
70|7.7|50393|1356
71|7.7|36293|1496
72|6.57|1859|15
73|7.28|26138|793
74|7.8|76401|4659
75|7.54|12533|308
76|7.65|2246|45
77|7.36|15061|318
78|7.07|4192|87
79|8.32|20823|1183
80|7.13|13931|147
81|8.62|31110|2285
83|7.58|13287|364
84|7.65|21425|949
85|8.34|43728|2959
86|7.21|8692|80
87|7.36|3060|62
88|6.38|3720|19
89|7.41|3522|106
90|7.67|26498|1573
91|7.6|16271|405
92|8.2|46320|4032
93|6.89|2130|31
94|7.43|27491|1033
95|6.97|961|19
96|6.88|680|2
97|7.14|10342|179
98|7.78|15944|547
99|7.37|17103|318
100|6.23|651|0
101|7.73|35602|1705
102|8.51|129455|13694
103|7.38|2993|30
104|8.87|128573|14003
105|8|27582|798
106|8.38|56265|3591
107|7.81|61699|2645
108|7.41|11612|186
109|7.45|12765|273
110|6.94|6816|97
111|7.42|3370|91
112|7.01|3350|10
113|7.59|14311|325
114|7.5|8588|211
115|7.07|1686|13
116|7.31|5188|106
117|7.05|15419|374
118|7.95|19412|549
119|7.6|17896|466
120|7.03|754|17
121||282|4
122|6.83|384|4
123|6.61|557|2
124|7.96|15739|325
125|6.92|1801|18
126|6.79|2107|10
127|6.41|1008|6
128|8.3|26446|1349
129|6.38|819|15
130|6.9|5092|27
131|6.67|394|0
132|6.64|1152|16
133|8.03|17579|762
134|7.37|14561|358
135|6.04|3286|15
136|7.73|13643|337
137|7.05|4270|70
138|6.11|600|2
139|6.98|951|4
140|7.05|1541|38
141|6.52|3659|42
142|7.92|64502|2869
143|7.21|3825|34
144|6.8|1501|14
145|8.68|62047|4020
146|6.4|768|2
147|7.28|1039|27
148|6.78|961|9
149|8.3|114739|6682
150|6.82|446|5
151|6.74|1053|13
152|6.5|1392|12
153|6.96|467|1
155|6.28|1087|4
156|7.61|15861|207
157|7.57|12798|240
158|8.25|13801|464
159|6.79|1243|13
160|7.98|27307|1447
161|6.61|450|6
162|7.35|2106|21
163|7.31|2469|20
164|7.95|11901|273
165|7.24|10819|117
166|7.1|881|8
167|7|2103|49
168||247|1
169|6.88|2094|30
170|7.7|5163|115
171|7.3|1107|12
172|6.41|594|4
173|7.15|14655|286
174|6.73|5045|40
175|7|4164|37
176|7.13|3396|11
177|6.97|1470|5
178|7.32|4155|13
179|7.19|3195|19
180|6.3|492|0
181|7.05|1215|22
182|6.77|3147|28
183|6.98|632|1
184|7.04|1279|2
185|6.99|924|0
186|7.41|2821|16
187|7.31|4565|33
188|7.81|3943|70
190|7.39|4118|69
191|7.59|2622|50
192|5.81|534|0
193|7|899|11
194|6.73|1547|24
195|6.73|402|0
196|6.21|1247|4
197|7.1|1748|3
198|7.62|1989|10
199|7.46|5786|78
200|7.55|1567|5
201|7.53|1781|31
202|6.64|1009|7
203|6.76|1657|1
204|7.08|1436|5
205|6.94|1562|2
206|7.2|966|9
207|6.92|829|1
208|6.68|638|3
209|7.72|4040|89
211|7.02|644|0
212|7.15|1319|6
213|6.59|782|2
214|8.53|11775|651
215||90|0
216|6.4|1890|18
217|6.63|792|3
218|7.47|1931|44
219|7.84|23959|550
220|7.35|890|25
221|7.49|14602|242
222|7.08|2222|24
223|7.24|1740|30
224|6.78|413|2
225|6.73|798|0
226|6.9|618|0
227|7.02|505|1
228|7.09|1035|23
229|7.23|19964|331
230|7.59|3718|71
233|6.94|754|3
234|7.6|2518|14
235|7.07|1183|2
236|7.13|2067|6
237|7.18|2575|13
238|7.01|1256|1
239|7.22|2423|13
240|6.86|576|1
241|7.4|3394|32
242|6.5|660|0
243|6.73|506|4
244|7.42|2382|30
245|6.92|1251|5
246|7.56|7302|99
247|7.2|1708|2
248|7.39|4068|23
249|7.41|7289|97
250|7.45|1135|8
251|7.5|3112|31
252|7.2|922|4
253|7.18|523|4
254|6.99|2566|17
255|7.51|2312|25
256|7.33|3064|1
257|7.83|9477|122
258|7|918|3
259|7.25|1353|24
260|6.89|1180|0
261|7.09|842|5
262|7.07|414|0
263|7.37|1401|3
264|6.94|924|3
265|7.13|1807|1
266|6.86|420|1
267|8.31|79983|5250
268|6.73|484|5
269|7.24|2945|65
270|6.93|698|14
271|6.62|1827|18
272|5.71|643|1
273|7.05|632|4
274|6.29|529|3
275|6.44|1371|7
276|6.51|1858|11
277|7.44|7249|220
278|7.64|8987|187
279|7.2|1668|3
280||253|1
281|7.19|1678|37
282|6.68|845|3
283|7.06|1315|12
284|8.06|7694|122
285|7.19|1281|15
286|7.02|1565|1
287|7.15|4878|118
288|7.02|2416|26
289|5.57|796|8
290|7.21|928|5
291|7.09|729|1
292|6.9|635|4
293|7.23|1485|4
294|7.04|1014|4
295|6.19|1809|2
296|6.69|6749|54
297|6.77|1436|25
298|7.68|1894|41
299|7.14|2321|23
300|6.78|412|2
301|6.71|538|7
302|7.47|1620|31
303|7.17|1838|94
304|7.74|8487|292
305|7.35|1087|19
306|7.08|2226|41
307|6.52|2415|7
308|7.44|3409|40
309|7.05|2745|40
311|6.43|344|1
312|5.89|1157|5
314|7.9|6618|327
315|6.87|493|6
316|7.33|1781|11
317|7.16|1652|24
318|7.29|13906|216
319|7.18|1156|18
320|8.33|38958|3029
321|6.26|568|5
322|7.59|1773|23
323||176|0
324|7.27|2020|44
325|6.63|5204|56
326|7.64|8745|160
327|7.27|4274|49
328|7|2062|13
329|7.41|4461|92
330|6.89|2181|15
332|7.59|13755|724
333|7.39|3424|55
334|7.33|1405|22
335|7.35|1191|20
336|8.89|136974|9823
337||190|1
338|8.14|26060|1186
339|8.12|11844|298
340|6.67|464|5
341|6.71|1493|33
342|6.84|913|9
343|7.61|2398|50
344|7.86|13090|256
345|7.05|834|10
346|6.75|971|24
347|7.21|6230|71
348|8.25|35420|1895
349|6.74|2113|44
350|7.56|6016|81
351|6.68|1775|31
352|7.35|1477|35
353|6.96|726|4
354|6.85|993|11
355|7.55|1345|42
356|7.94|6594|224
357|7.16|13223|288
358|6.89|969|4
359|7.05|616|13
360|6.35|570|2
361||97|0
362|7.33|2673|14
363||274|5
364|7.69|3023|79
365|6.97|691|3
366|7.91|21091|344
367|7.24|989|24
368||240|0
369|7.69|1699|24
370|6.92|1593|20
371|7.93|6747|265
372|6.83|7236|168
373|8.23|18323|681
374|6.53|483|1
375|8.19|21185|1248
376|6.87|626|7
377|7.17|2519|28
378|6.77|1046|19
379|7.81|9069|141
380|7|1413|25
381|7.77|12558|150
382|7.41|1395|13
383|6.92|348|2
384|6.83|2249|72
385|6.85|2261|20
386|6.76|1048|11
387|7.75|32420|1311
388|7.44|1873|41
389|6.84|1834|10
390|7.67|6908|512
391|6.87|5319|82
392|8|19565|550
393|8.11|5393|157
394|7.5|2593|72
395|7.55|15425|307
396|7.35|21980|753
397|7.46|12451|201
398|7.81|12924|466
399|8.58|15584|422
400|7.24|2210|59
401|8.39|89060|3994
402|6.81|836|6
403|6.4|570|3
405|7.18|8367|123
406|7|4546|50
407|8.03|15681|553
408|6.81|900|36
409|7.1|2043|51
